
Total;Bibliotecas (Unidades administrativas);6.458
Total;Forma de acceso por Internet (**): Libre;3.870
Total;Forma de acceso por Internet (**): Restringido;452
Total;Forma de acceso por Internet (**): Sin acceso;2.136
Total;Nº de visitas a la página web durante el año;194.854.816
Total;Servicios accesibles por Internet: Catálogo;4.173
Total;Servicios accesibles por Internet: Fondos;2.829
Nacional;Bibliotecas (Unidades administrativas);1
Nacional;Forma de acceso por Internet (**): Libre;1
Nacional;Forma de acceso por Internet (**): Restringido;0
Nacional;Forma de acceso por Internet (**): Sin acceso;0
Nacional;Nº de visitas a la página web durante el año;7.071.456
Nacional;Servicios accesibles por Internet: Catálogo;1
Nacional;Servicios accesibles por Internet: Fondos;1
Centrales de Comunidades Autónomas (*);Bibliotecas (Unidades administrativas);7
Centrales de Comunidades Autónomas (*);Forma de acceso por Internet (**): Libre;7
Centrales de Comunidades Autónomas (*);Forma de acceso por Internet (**): Restringido;0
Centrales de Comunidades Autónomas (*);Forma de acceso por Internet (**): Sin acceso;0
Centrales de Comunidades Autónomas (*);Nº de visitas a la página web durante el año;1.800.365
Centrales de Comunidades Autónomas (*);Servicios accesibles por Internet: Catálogo;7
Centrales de Comunidades Autónomas (*);Servicios accesibles por Internet: Fondos;7
Públicas;Bibliotecas (Unidades administrativas);4.001
Públicas;Forma de acceso por Internet (**): Libre;2.750
Públicas;Forma de acceso por Internet (**): Restringido;68
Públicas;Forma de acceso por Internet (**): Sin acceso;1.183
Públicas;Nº de visitas a la página web durante el año;44.146.486
Públicas;Servicios accesibles por Internet: Catálogo;2.742
Públicas;Servicios accesibles por Internet: Fondos;1.775
Para grupos específicos de usuarios (no especializadas);Bibliotecas (Unidades administrativas);198
Para grupos específicos de usuarios (no especializadas);Forma de acceso por Internet (**): Libre;21
Para grupos específicos de usuarios (no especializadas);Forma de acceso por Internet (**): Restringido;8
Para grupos específicos de usuarios (no especializadas);Forma de acceso por Internet (**): Sin acceso;169
Para grupos específicos de usuarios (no especializadas);Nº de visitas a la página web durante el año;1.030.036
Para grupos específicos de usuarios (no especializadas);Servicios accesibles por Internet: Catálogo;25
Para grupos específicos de usuarios (no especializadas);Servicios accesibles por Internet: Fondos;19
De instituciones de enseñanza superior;Bibliotecas (Unidades administrativas);269
De instituciones de enseñanza superior;Forma de acceso por Internet (**): Libre;178
De instituciones de enseñanza superior;Forma de acceso por Internet (**): Restringido;68
De instituciones de enseñanza superior;Forma de acceso por Internet (**): Sin acceso;23
De instituciones de enseñanza superior;Nº de visitas a la página web durante el año;83.395.931
De instituciones de enseñanza superior;Servicios accesibles por Internet: Catálogo;246
De instituciones de enseñanza superior;Servicios accesibles por Internet: Fondos;200
Bibliotecas especializadas: Total;Bibliotecas (Unidades administrativas);1.982
Bibliotecas especializadas: Total;Forma de acceso por Internet (**): Libre;913
Bibliotecas especializadas: Total;Forma de acceso por Internet (**): Restringido;308
Bibliotecas especializadas: Total;Forma de acceso por Internet (**): Sin acceso;761
Bibliotecas especializadas: Total;Nº de visitas a la página web durante el año;57.410.542
Bibliotecas especializadas: Total;Servicios accesibles por Internet: Catálogo;1.152
Bibliotecas especializadas: Total;Servicios accesibles por Internet: Fondos;827
Bibliotecas especializadas: De instituciones religiosas;Bibliotecas (Unidades administrativas);187
Bibliotecas especializadas: De instituciones religiosas;Forma de acceso por Internet (**): Libre;80
Bibliotecas especializadas: De instituciones religiosas;Forma de acceso por Internet (**): Restringido;12
Bibliotecas especializadas: De instituciones religiosas;Forma de acceso por Internet (**): Sin acceso;95
Bibliotecas especializadas: De instituciones religiosas;Nº de visitas a la página web durante el año;840.303
Bibliotecas especializadas: De instituciones religiosas;Servicios accesibles por Internet: Catálogo;81
Bibliotecas especializadas: De instituciones religiosas;Servicios accesibles por Internet: Fondos;54
Bibliotecas especializadas: De la Administración;Bibliotecas (Unidades administrativas);368
Bibliotecas especializadas: De la Administración;Forma de acceso por Internet (**): Libre;209
Bibliotecas especializadas: De la Administración;Forma de acceso por Internet (**): Restringido;52
Bibliotecas especializadas: De la Administración;Forma de acceso por Internet (**): Sin acceso;107
Bibliotecas especializadas: De la Administración;Nº de visitas a la página web durante el año;9.819.066
Bibliotecas especializadas: De la Administración;Servicios accesibles por Internet: Catálogo;249
Bibliotecas especializadas: De la Administración;Servicios accesibles por Internet: Fondos;197
Bibliotecas especializadas: De centros de investigación;Bibliotecas (Unidades administrativas);112
Bibliotecas especializadas: De centros de investigación;Forma de acceso por Internet (**): Libre;52
Bibliotecas especializadas: De centros de investigación;Forma de acceso por Internet (**): Restringido;26
Bibliotecas especializadas: De centros de investigación;Forma de acceso por Internet (**): Sin acceso;34
Bibliotecas especializadas: De centros de investigación;Nº de visitas a la página web durante el año;3.172.581
Bibliotecas especializadas: De centros de investigación;Servicios accesibles por Internet: Catálogo;70
Bibliotecas especializadas: De centros de investigación;Servicios accesibles por Internet: Fondos;61
Bibliotecas especializadas: De asociaciones y colegios profesionales;Bibliotecas (Unidades administrativas);244
Bibliotecas especializadas: De asociaciones y colegios profesionales;Forma de acceso por Internet (**): Libre;59
Bibliotecas especializadas: De asociaciones y colegios profesionales;Forma de acceso por Internet (**): Restringido;83
Bibliotecas especializadas: De asociaciones y colegios profesionales;Forma de acceso por Internet (**): Sin acceso;102
Bibliotecas especializadas: De asociaciones y colegios profesionales;Nº de visitas a la página web durante el año;3.959.391
Bibliotecas especializadas: De asociaciones y colegios profesionales;Servicios accesibles por Internet: Catálogo;132
Bibliotecas especializadas: De asociaciones y colegios profesionales;Servicios accesibles por Internet: Fondos;82
Bibliotecas especializadas: De empresas o firmas comerciales;Bibliotecas (Unidades administrativas);33
Bibliotecas especializadas: De empresas o firmas comerciales;Forma de acceso por Internet (**): Libre;1
Bibliotecas especializadas: De empresas o firmas comerciales;Forma de acceso por Internet (**): Restringido;12
Bibliotecas especializadas: De empresas o firmas comerciales;Forma de acceso por Internet (**): Sin acceso;20
Bibliotecas especializadas: De empresas o firmas comerciales;Nº de visitas a la página web durante el año;1.136.869
Bibliotecas especializadas: De empresas o firmas comerciales;Servicios accesibles por Internet: Catálogo;11
Bibliotecas especializadas: De empresas o firmas comerciales;Servicios accesibles por Internet: Fondos;11
Bibliotecas especializadas: De archivos y museos;Bibliotecas (Unidades administrativas);351
Bibliotecas especializadas: De archivos y museos;Forma de acceso por Internet (**): Libre;240
Bibliotecas especializadas: De archivos y museos;Forma de acceso por Internet (**): Restringido;5
Bibliotecas especializadas: De archivos y museos;Forma de acceso por Internet (**): Sin acceso;106
Bibliotecas especializadas: De archivos y museos;Nº de visitas a la página web durante el año;8.726.439
Bibliotecas especializadas: De archivos y museos;Servicios accesibles por Internet: Catálogo;235
Bibliotecas especializadas: De archivos y museos;Servicios accesibles por Internet: Fondos;129
Bibliotecas especializadas: De centros sanitarios;Bibliotecas (Unidades administrativas);133
Bibliotecas especializadas: De centros sanitarios;Forma de acceso por Internet (**): Libre;31
Bibliotecas especializadas: De centros sanitarios;Forma de acceso por Internet (**): Restringido;74
Bibliotecas especializadas: De centros sanitarios;Forma de acceso por Internet (**): Sin acceso;28
Bibliotecas especializadas: De centros sanitarios;Nº de visitas a la página web durante el año;17.353.144
Bibliotecas especializadas: De centros sanitarios;Servicios accesibles por Internet: Catálogo;101
Bibliotecas especializadas: De centros sanitarios;Servicios accesibles por Internet: Fondos;98
Bibliotecas especializadas: Otras bibliotecas especializadas;Bibliotecas (Unidades administrativas);554
Bibliotecas especializadas: Otras bibliotecas especializadas;Forma de acceso por Internet (**): Libre;241
Bibliotecas especializadas: Otras bibliotecas especializadas;Forma de acceso por Internet (**): Restringido;44
Bibliotecas especializadas: Otras bibliotecas especializadas;Forma de acceso por Internet (**): Sin acceso;269
Bibliotecas especializadas: Otras bibliotecas especializadas;Nº de visitas a la página web durante el año;12.402.749
Bibliotecas especializadas: Otras bibliotecas especializadas;Servicios accesibles por Internet: Catálogo;273
Bibliotecas especializadas: Otras bibliotecas especializadas;Servicios accesibles por Internet: Fondos;195
