Estadística de Bibliotecas
Resultados nacionales
Resultados por tipo de biblioteca y forma de acceso, número de visitas a la página web, servicios accesibles por internet (catálogo y fondos).
Unidades: unidades

;Bibliotecas (Unidades administrativas);Forma de acceso por Internet (**): Libre;Forma de acceso por Internet (**): Restringido;Forma de acceso por Internet (**): Sin acceso;Nº de visitas a la página web durante el año;Servicios accesibles por Internet: Catálogo;Servicios accesibles por Internet: Fondos;
Total;6.458;3.870;452;2.136;194.854.816;4.173;2.829;
Nacional;1;1;0;0;7.071.456;1;1;
Centrales de Comunidades Autónomas (*);7;7;0;0;1.800.365;7;7;
Públicas;4.001;2.750;68;1.183;44.146.486;2.742;1.775;
Para grupos específicos de usuarios (no especializadas);198;21;8;169;1.030.036;25;19;
De instituciones de enseñanza superior;269;178;68;23;83.395.931;246;200;
Bibliotecas especializadas: Total;1.982;913;308;761;57.410.542;1.152;827;
Bibliotecas especializadas: De instituciones religiosas;187;80;12;95;840.303;81;54;
Bibliotecas especializadas: De la Administración;368;209;52;107;9.819.066;249;197;
Bibliotecas especializadas: De centros de investigación;112;52;26;34;3.172.581;70;61;
Bibliotecas especializadas: De asociaciones y colegios profesionales;244;59;83;102;3.959.391;132;82;
Bibliotecas especializadas: De empresas o firmas comerciales;33;1;12;20;1.136.869;11;11;
Bibliotecas especializadas: De archivos y museos;351;240;5;106;8.726.439;235;129;
Bibliotecas especializadas: De centros sanitarios;133;31;74;28;17.353.144;101;98;
Bibliotecas especializadas: Otras bibliotecas especializadas;554;241;44;269;12.402.749;273;195;
Notas:
1) (**) Se considera una biblioteca accesible por internet cuando se puede acceder a su catálogo y/o fondos a través de una página web (propia o de la red o entidad con la que esté vinculada)

 (*) En esta edición de la estadística, las bibliotecas centrales de las CCAA de Principado de Asturias, Cantabria,  Castilla-La Mancha, Castilla y León, Región de Murcia, Comunidad Foral de Navarra y La Rioja han sido  clasificadas como bibliotecas de acceso público al poseer también la condición de públicas.
Fuente: Instituto Nacional de Estadística
